timestamp,output_variance
step_158,0.12276089191436768
step_159,0.12253881245851517
step_160,0.12230759859085083
step_161,0.12206792086362839
step_162,0.1218196451663971
step_163,0.1215645894408226
step_164,0.12130183726549149
step_165,0.12103138118982315
step_166,0.12075361609458923
step_167,0.12046913802623749
step_168,0.12017874419689178
step_169,0.11988278478384018
step_170,0.11957845091819763
step_171,0.119265116751194
step_172,0.11894171684980392
step_173,0.11860932409763336
step_174,0.11826739460229874
step_175,0.11791569739580154
step_176,0.11755512654781342
step_177,0.11718646436929703
step_178,0.11681035161018372
step_179,0.11642736941576004
step_180,0.11603781580924988
step_181,0.1156415045261383
step_182,0.1152389869093895
step_183,0.11483165621757507
step_184,0.1144193485379219
step_185,0.11400157958269119
step_186,0.11357780545949936
step_187,0.11314747482538223
step_188,0.11271344125270844
step_189,0.11227599531412125
step_190,0.1118348091840744
step_191,0.11138885468244553
step_192,0.11093822121620178
step_193,0.11048233509063721
step_194,0.11002302914857864
step_195,0.10955984145402908
step_196,0.10909361392259598
step_197,0.10862480849027634
step_198,0.10815288871526718
step_199,0.10767808556556702
step_200,0.10720041394233704
step_201,0.10672016441822052
step_202,0.10623715072870255
step_203,0.10575056076049805
step_204,0.10526101291179657
step_205,0.10477109253406525
step_206,0.10428124666213989
step_207,0.10379085689783096
step_208,0.10329946130514145
step_209,0.10280682891607285
step_210,0.102312833070755
step_211,0.10181727260351181
step_212,0.10131976753473282
step_213,0.10082041472196579
step_214,0.10031995922327042
step_215,0.09981802105903625
step_216,0.09931641072034836
step_217,0.09881473332643509
step_218,0.09831396490335464
step_219,0.09781311452388763
step_220,0.09731168299913406
step_221,0.0968097671866417
step_222,0.0963079184293747
step_223,0.09580677002668381
step_224,0.09530564397573471
step_225,0.09480569511651993
step_226,0.09430622309446335
step_227,0.09380856156349182
step_228,0.09331145137548447
step_229,0.0928148478269577
step_230,0.09231892973184586
step_231,0.09182608872652054
step_232,0.09133568406105042
step_233,0.09084921330213547
step_234,0.09036481380462646
step_235,0.08988219499588013
step_236,0.08940063416957855
step_237,0.088919498026371
step_238,0.08843787759542465
step_239,0.08795477449893951
step_240,0.08747067302465439
step_241,0.08698666095733643
step_242,0.08650264889001846
step_243,0.08601894229650497
step_244,0.08553528785705566
step_245,0.0850520059466362
step_246,0.08456943929195404
step_247,0.08408838510513306
step_248,0.08360851556062698
step_249,0.08313076198101044
step_250,0.08265552669763565
step_251,0.0821831002831459
step_252,0.08171369135379791
step_253,0.08124659955501556
step_254,0.08078125864267349
step_255,0.08031737059354782
step_256,0.0798545628786087
step_257,0.07939261943101883
step_258,0.07893088459968567
step_259,0.07846971601247787
step_260,0.0780097171664238
step_261,0.07755033671855927
step_262,0.07709188759326935
step_263,0.07663571089506149
step_264,0.07618095725774765
step_265,0.07572757452726364
step_266,0.07527519017457962
step_267,0.07482386380434036
step_268,0.07437336444854736
step_269,0.07392372936010361
step_270,0.07347482442855835
step_271,0.07302767038345337
step_272,0.07258274406194687
step_273,0.07214055210351944
step_274,0.07170101255178452
step_275,0.07126392424106598
step_276,0.07082809507846832
step_277,0.0703933909535408
step_278,0.06996035575866699
step_279,0.06952998787164688
step_280,0.06910255551338196
step_281,0.06867856532335281
step_282,0.06826090067625046
step_283,0.06784863770008087
step_284,0.06744137406349182
step_285,0.06703977286815643
step_286,0.0666426494717598
step_287,0.06624919176101685
step_288,0.06585903465747833
step_289,0.06547124683856964
step_290,0.0650845617055893
step_291,0.06469820439815521
step_292,0.06431183218955994
step_293,0.06392582505941391
step_294,0.06353923678398132
step_295,0.06315188109874725
step_296,0.06276388466358185
step_297,0.06237547844648361
step_298,0.061987925320863724
step_299,0.06160131096839905
